latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
3.84767,29.16331,309.96,2.94,1.63,2021-12-31,0011,A,29,6.1NRT,272.19,53.47,N
0.19176,-176.48117,310.85,1.58,1.24,2021-12-31,0104,A,44,6.1NRT,295.77,12.86,D
-19.11855,138.19551,341.94,1.92,1.35,2021-12-31,0124,T,85,6.1NRT,306.26,78.69,D
-19.12065,138.21373,328.91,1.93,1.36,2021-12-31,0124,T,57,6.1NRT,304.54,29.48,D
-19.09685,129.66951,355.09,1.17,1.08,2021-12-31,0124,T,96,6.1NRT,308.77,67.17,D
-19.09863,129.68048,337.69,1.17,1.07,2021-12-31,0124,T,79,6.1NRT,307.5,24.03,D
-19.10472,129.65688,335.34,1.17,1.08,2021-12-31,0124,T,74,6.1NRT,307.37,19.13,D
-19.10649,129.66782,353.98,1.17,1.08,2021-12-31,0124,T,95,6.1NRT,308.85,62.77,D
-19.11614,129.66612,350.43,1.17,1.08,2021-12-31,0124,T,93,6.1NRT,308.95,50.7,D
-19.10797,129.55376,339.07,1.18,1.08,2021-12-31,0124,T,81,6.1NRT,307.05,26.6,D
-19.10977,129.56491,343.21,1.18,1.08,2021-12-31,0124,T,86,6.1NRT,305.52,36.36,D
-19.12578,129.66444,333.6,1.17,1.08,2021-12-31,0124,T,50,6.1NRT,308.56,11.97,D
-19.11767,129.55208,365.99,1.18,1.08,2021-12-31,0124,T,100,6.1NRT,309.22,103.8,D
-19.11946,129.56323,371.36,1.18,1.08,2021-12-31,0124,T,100,6.1NRT,309.28,126.51,D
-19.12738,129.55038,333.73,1.18,1.08,2021-12-31,0124,T,61,6.1NRT,307.85,12.19,D
-19.12916,129.56155,333.94,1.18,1.08,2021-12-31,0124,T,66,6.1NRT,308.71,13.25,D
-18.18309,124.04401,326.94,2.93,1.63,2021-12-31,0124,T,39,6.1NRT,301.38,38.69,D
-18.18335,124.03813,328.33,2.93,1.63,2021-12-31,0124,T,56,6.1NRT,301.45,47.38,D
-19.3616,123.61751,326.66,2.97,1.64,2021-12-31,0124,T,55,6.1NRT,301.86,44.97,D
-19.36137,123.61158,326.86,2.97,1.64,2021-12-31,0124,T,48,6.1NRT,302.14,45.65,D
-22.26408,132.06187,335.34,1.01,1,2021-12-31,0124,T,67,6.1NRT,314.95,11.84,D
-23.51778,131.69991,346.9,1.01,1,2021-12-31,0124,T,91,6.1NRT,313.64,31.58,D
-23.54231,131.67982,345.05,1,1,2021-12-31,0124,T,83,6.1NRT,316.44,27.56,D
-23.54371,131.68961,357.06,1.01,1,2021-12-31,0124,T,98,6.1NRT,317.33,54.83,D
-23.54992,131.66853,347.83,1,1,2021-12-31,0124,T,89,6.1NRT,315.65,30.24,D
-23.55132,131.67831,385.03,1,1,2021-12-31,0124,T,100,6.1NRT,323.07,148.56,D
-23.55272,131.68811,376.89,1.01,1,2021-12-31,0124,T,100,6.1NRT,317.44,116.77,D
-23.55752,131.65724,366.68,1,1,2021-12-31,0124,T,100,6.1NRT,317.19,83,D
-23.55893,131.66704,361.02,1,1,2021-12-31,0124,T,100,6.1NRT,315.52,66.19,D
-23.56033,131.67682,407.62,1,1,2021-12-31,0124,T,100,6.1NRT,322.95,280.34,D
-23.56174,131.68661,394.27,1.01,1,2021-12-31,0124,T,100,6.1NRT,317.29,199.87,D
-23.56653,131.65575,341.49,1,1,2021-12-31,0124,T,87,6.1NRT,311.81,25.5,D
-23.56794,131.66553,339.83,1,1,2021-12-31,0124,T,85,6.1NRT,311.66,23.3,D
-23.56934,131.67532,360.61,1,1,2021-12-31,0124,T,100,6.1NRT,312.61,68.3,D
-23.57075,131.68512,346.87,1.01,1,2021-12-31,0124,T,91,6.1NRT,311.98,36.03,D
35.92913,140.67657,302.44,1.32,1.14,2021-12-31,0109,T,0,6.1NRT,284.06,10.28,D
-32.90332,-57.92025,302.73,2.94,1.63,2021-12-31,0200,T,19,6.1NRT,292.22,18.62,N
-32.89053,-57.95341,310.05,2.96,1.64,2021-12-31,0200,T,57,6.1NRT,293.05,35.86,N
-32.8756,-57.9547,317.63,2.96,1.64,2021-12-31,0200,T,95,6.1NRT,294.68,63.57,N
-32.8777,-57.9869,312.74,2.97,1.64,2021-12-31,0200,T,79,6.1NRT,293.48,44.47,N
-32.85863,-57.92439,344.64,2.94,1.63,2021-12-31,0200,T,100,6.1NRT,294.86,239.65,N
-32.86068,-57.95625,337.57,2.96,1.64,2021-12-31,0200,T,100,6.1NRT,295.45,177.93,N
-32.86274,-57.98839,345.62,2.97,1.64,2021-12-31,0200,T,100,6.1NRT,295.71,248.91,N
-32.84373,-57.92572,317.26,2.94,1.63,2021-12-31,0200,T,57,6.1NRT,293.58,60.36,N
-32.84576,-57.95767,317.01,2.96,1.64,2021-12-31,0200,T,94,6.1NRT,294.57,53.84,N
-32.84779,-57.98987,334.23,2.97,1.64,2021-12-31,0200,T,100,6.1NRT,295.81,153.78,N
-32.89148,-57.96014,307.52,2.96,1.64,2021-12-31,0200,T,30,6.1NRT,292.91,26.94,N
-32.87654,-57.9614,321.72,2.96,1.64,2021-12-31,0200,T,100,6.1NRT,294.78,82.59,N
-32.85713,-57.89937,311.97,2.93,1.63,2021-12-31,0200,T,27,6.1NRT,291.37,40.96,N
-32.85938,-57.9311,336.45,2.94,1.63,2021-12-31,0200,T,100,6.1NRT,294.84,168.21,N
-32.86162,-57.96287,340.37,2.96,1.64,2021-12-31,0200,T,100,6.1NRT,296.2,196.82,N
-32.86389,-57.99509,330.19,2.97,1.64,2021-12-31,0200,T,100,6.1NRT,294.66,127.71,N
-32.84447,-57.93239,320.98,2.94,1.63,2021-12-31,0200,T,69,6.1NRT,293.79,75.16,N
-32.84669,-57.9643,321.78,2.96,1.64,2021-12-31,0200,T,100,6.1NRT,295.06,75.6,N
-32.84893,-57.99649,330.37,2.97,1.64,2021-12-31,0200,T,100,6.1NRT,295.25,127.39,N
-32.82739,-57.902,310.26,2.93,1.63,2021-12-31,0200,T,34,6.1NRT,292.68,36.47,N
-32.82957,-57.93367,341.18,2.94,1.63,2021-12-31,0200,T,100,6.1NRT,294.71,207.63,N
-32.83398,-57.99801,327.56,2.97,1.64,2021-12-31,0200,T,100,6.1NRT,294.96,113.23,N
-32.78909,-58.00209,311.18,2.97,1.64,2021-12-31,0200,T,27,6.1NRT,293.7,37.94,N
-32.77412,-58.00345,307.06,2.97,1.64,2021-12-31,0200,T,68,6.1NRT,293.25,28.38,N
-30.74917,-52.758,330.42,1.29,1.13,2021-12-31,0200,T,100,6.1NRT,291.32,42.49,N
-30.75073,-52.7716,307.18,1.3,1.13,2021-12-31,0200,T,71,6.1NRT,290.56,10.36,N
-30.73897,-52.75978,311.29,1.29,1.13,2021-12-31,0200,T,82,6.1NRT,290.37,14.43,N
-30.0947,-59.49215,305.19,3.51,1.76,2021-12-31,0200,T,63,6.1NRT,292.39,33.6,N
-30.09974,-59.46153,306.12,3.49,1.76,2021-12-31,0200,T,67,6.1NRT,292.44,38.69,N
-30.10227,-59.49829,303.99,3.51,1.76,2021-12-31,0200,T,58,6.1NRT,292.32,30.57,N
-29.52031,-59.54585,304.7,3.49,1.76,2021-12-31,0200,T,61,6.1NRT,293.78,32.98,N
-29.60056,-61.15753,306,4.5,1.95,2021-12-31,0200,T,66,6.1NRT,295.18,38.93,N
-29.04169,-56.55313,306.8,2.14,1.42,2021-12-31,0200,T,69,6.1NRT,294.12,15.19,N
-29.04374,-56.57537,312.49,2.15,1.42,2021-12-31,0200,T,85,6.1NRT,294.43,27.67,N
-28.33562,-60.83456,313.01,4.17,1.89,2021-12-31,0200,T,86,6.1NRT,294.02,87.31,N
-28.33312,-60.83978,311.82,4.17,1.89,2021-12-31,0200,T,83,6.1NRT,294.02,79.37,N
